Compound,Source,Unit,Turbidity (NTU),Source,doi
Bioretention,Influent,TSS Concentration (mg/L),14.10000038,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),4,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),1.200000048,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2.700000048,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),3.599999905,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),6,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),4.099999905,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),10,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),4.199999809,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),6,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),1.399999976,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2.400000095,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2.200000048,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),3.099999905,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),119.75,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),36,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),64.25,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),547.5,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),399.5,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),127.5,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),85.5,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
