OBJECTID,FID_,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_,wgs84,wgs84_X,wgs84_Y,RASTERVALU
1025,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c95,569,Iasi,Europe,Romania,47.1569,27.5903,1911,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Rojanschi, V., Mlenanek, L., Stacilescu, M., 2001. Riverbank filtration in water supply in Romania - old solutions, new problems, in: Ray, C. (Ed.), Riverbank Filtration: Understanding contaminent biogeochemistry and pathogen removal, pp",27.5903 47.1569,47.1569,27.5903,253.5379944
1026,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c96,663,Adelaide Botanics Garden,Oceania,Australia,-34.9161354,138.6094452,2013,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Domestic,Ecological Benefits,"<a href='http://202020vision.com.au/project/?id=264' target='_blank'>Pitman, S. 2015. Adelaide Botanic Garden First Creek Wetland. 202020 Vision. http://202020vision.com.au/project/?id=264 (accessed April 26, 2015).</a>",138.6094452 -34.9161354,0,0,
1027,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c97,561,Bielany,Europe,Poland,50.042,19.84,1921,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Water Quality Management,"Blazejewski, M., 1983 Perspektywy Wykorzystania Sztucznej Infiltracji W Uzadatnianiu Zanieczyszonych Wod Powierzchniowych W Polsce W Swietle Dotychczasowych Doswiadczen, Sztuczna infiltracja w uzdatnianiu WOD powierzchniowych, pp. 7-12.",19.84 50.042,50.042,19.84,581.2173462
1028,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c98,13,Kiindu Dam,Africa,Kenia,-1.449857,38.00249,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Domestic,Maximize Natural Storage,"<a href='https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf' target='_blank'>Gijsbertsen, C. 2007. A Study to up-Scaling of the P",38.00249 -1.449857,-1.449857,38.00249,75.82333374
1029,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c99,1320,Hinds/Hekeao MAR Pilot Project,Oceania,New Zealand,-43.879261,171.61935,2016,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Maximize Natural Storage,"<a href='https://api.ecan.govt.nz/TrimPublicAPI/documents/download/2151895' target='_blank'>Bower, R., 2014. Hinds/Hekeao Plains Technical Overview – Subregional Planning Development Process. Environmental Canterbury, Report R14/79 ISBN 978-1-927314-38",171.61935 -43.879261,0,0,698.1680298
1030,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c9a,216,Jagsi-Sarfabad shallow,Asia,India,29.276362,76.63632,2004,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Agricultural,Water Quality Management,"<a href='http://unesdoc.unesco.org/images/0014/001492/149210e.pdf' target='_blank'>Kamra, S. K., V. Anchal, S. Aswal, and R. K. Lal. 2006. Groundwater Recharge through Cavity Wells in Saline Groundwater Regions. In Recharge Systems for Protecting and Enh",76.63632 29.276362,29.276362,76.63632,261.2086792
1031,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c9b,1050,Louise P. Moon ASR,North America,USA,41.617577,-93.833096,2008,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Tap water,no data,Maximize Natural Storage,"<a href='www.nps.gov/miss/learn/nature/upload/StowePresent-050815.pdf' target='_blank'>Stowe, B. 2015. Regulating for Drinking Water Protection in Iowa’s Watersheds. www.nps.gov/miss/learn/nature/upload/StowePresent-050815.pdf</a>",-93.833096 41.617577,0,0,403.9719849
1032,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c9c,870,Anaheim Lake,North America,USA,33.864873,-117.847346,1961,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"<a href='https://www.ocwd.com/media/2414/11-12-annual-recharge-report-final.pdf' target='_blank'>Hutchinson, A. S. 2013. Report on Groundwater Recharge in the Orange County Groundwater Basin 2011-2012. Fountain Valley, CA, USA: Orange County Water Distri",-117.847346 33.864873,0,0,60.72733307
1033,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c9d,335,Sur 1,Asia,Oman,22.526575,59.459444,1977,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Physical Aquifer Management,"Abdalla, O. A. E., and A. S. Al-Rawahi. 2013. Groundwater Recharge Dams in Arid Areas as Tools for Aquifer Replenishment and Mitigating Seawater Intrusion: Example of AlKhod, Oman. Environmental Earth Sciences 69 (6): 1951–1962. doi:10.1007/s12665-012-",59.459444 22.526575,22.526575,59.459444,-16.52066612
1034,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c9e,579,Orba,Europe,Spain,38.78,-0.08,1994,-9999,Spreading Methods,Surface flooding and ditch-and-furrow,<a href='https://inowas.com/mar-methods/ditches-and-furrows/' target='_blank'>Ditches and furrows</a>,Storm water,Agricultural,Ecological Benefits,"Díaz, M., Manuel, J., Gómez, O., Antonio de la, J., Cachero, A., Luis, J., Silvino, C., 2000. Recarga artificial de acuiferos: Sintesis metodologica. Estudios y actuaciones realizadas en la provincia de Alicante. Septiembre 1999. Diputacion Provincial.",-0.08 38.78,38.78,-0.08,188.3379974
1035,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1c9f,1030,Fountain Hills,North America,USA,33.606484,-111.72893,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Reclaimed wastewater,no data,no data,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-111.72893 33.606484,0,0,53.51599884
1036,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca0,865,Olive Basin,North America,USA,33.848304,-117.841728,1973,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"<a href='https://www.ocwd.com/media/2414/11-12-annual-recharge-report-final.pdf' target='_blank'>Hutchinson, A. S. 2013. Report on Groundwater Recharge in the Orange County Groundwater Basin 2011-2012. Fountain Valley, CA, USA: Orange County Water Distri",-117.841728 33.848304,0,0,7.772666454
1037,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca1,394,Mas-Grenier,Europe,France,43.89139,1.197222,1976,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Water Quality Management,"<a href='http://infoterre.brgm.fr/rapports/RP-55063-FR.pdf' target='_blank'>Wuilleumier, A., Seguin, J.J., 2008. Réalimentation artificielle des aquifères en France - Une synthèse, BRGM/RP-55063-FR.</a>",1.197222 43.89139,43.89139,1.197222,365.2739868
1038,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca2,198,Badhyan,Asia,India,28.976451,75.752161,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Agricultural,Water Quality Management,"Malik, R. S., B. S. Jhorar, R. K. Jhorar, T. Streck, and J. Richter. 2002. Long-Term Successful Operation of Existing Brackish Cavity Wells Far SAR to Improve Quality for Irrigation by Indian Farmers. In Management of Aquifer Recharge for Sustainability:",75.752161 28.976451,28.976451,75.752161,100.7853317
1039,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca3,1140,Locher Rd,North America,USA,46.001784,-118.474153,2007,2013,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Agricultural,Physical Aquifer Management,<a href='http://wwbwc.org/aquifer-recharge-projects/39-locher-road-aquifer-recharge-site.html' target='_blank'>Locher Rd. 2015. Walla Walla Watershed Council. http://wwbwc.org/aquifer-recharge-projects/39-locher-road-aquifer-recharge-site.html (accessed,-118.474153 46.001784,0,0,71.99533081
1040,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca4,654,Edinburgh Park North,Oceania,Australia,-34.710873,138.657301,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,no data,Ecological Benefits,<a href='http://swharvesting.waterdata.com.au/pages/Scheme.aspx?id=4&catchmentid=1' target='_blank'>Government of South Australia. 2015. Edinburgh Park North. Adelaide & Mount Lofty Ranges Urban Stormwater Harvesting Sub-Catchments. http://swharvesting.w,138.657301 -34.710873,0,0,12.48933315
1041,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca5,2,Koraro-01,Africa,Ethiopia,13.974516,39.410441,2009,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,Domestic,Physical Aquifer Management,no data,39.410441 13.974516,13.974516,39.410441,537.4260254
1042,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca6,452,Dohne,Europe,Germany,51.426,6.874,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",6.874 51.426,51.426,6.874,
1043,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca7,1117,"Clark County Public Utilities District Building- 27H1,2",North America,USA,45.629749,-122.663473,1955,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Industrial,Other Benefits,"<a href='http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.' target='_blank'>Price, D., D. H. Hart, and B. L. Foxworthy. 1965. Artificial Recharge in Oregon and Washington 1962. 1594-C. Water Supply Paper. U.S. Geological Survey. http://pubs.er.usg",-122.663473 45.629749,0,0,841.6246948
1044,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca8,697,Isfara aquifer,Asia,Uzbekistan,40.377012,70.542695,2010,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Maximize Natural Storage,"Karimov, A., A. Mavlonov, F. Miryusupov, I. Gracheva, V. Borisov, and B. Abdurahmonov. 2012. Modelling Policy Alternatives toward Managed Aquifer Recharge in the Fergana Valley, Central Asia. Water International 37 (4): 380–394. doi:10.1080/02508060.20",70.542695 40.377012,40.377012,70.542695,251.1433258
1045,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1ca9,238,Nallan Pillai Petral,Asia,India,12.190454,79.251187,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,no data,Maximize Natural Storage,"Ramasesha, C. S., P. Nandakumaran, and S. Suresh. 2002. Efficacy of Sub-Surface Dykes as Groundwater Conservation Structures in Hard Rock Terrain of Tamil Nadu, India. In Management of Aquifer Recharge for Sustainability: Proceedings of the 4th Internati",79.251187 12.190454,12.190454,79.251187,338.6839905
1046,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1caa,866,Raymond Basin,North America,USA,33.848565,-117.908087,1962,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,Other Benefits,"<a href='https://www.ocwd.com/media/2414/11-12-annual-recharge-report-final.pdf' target='_blank'>Hutchinson, A. S. 2013. Report on Groundwater Recharge in the Orange County Groundwater Basin 2011-2012. Fountain Valley, CA, USA: Orange County Water Distri",-117.908087 33.848565,0,0,
1047,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cab,484,Modanetta D,Europe,Italy,45.698,11.523,2010,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,no data,no data,"Battistello, d.G., Campagnolo, F., Prima, L.D., Muraro, T., Sottani, A., 2013. Esperienze di Ricarica Artificiale Degli Acquiferi in Provincia di Vicenza: risultati acquisiti e prospettive di sviluppo del metodo con pozzi disperdenti. Pr",11.523 45.698,45.698,11.523,478.7139893
1048,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cac,361,Donauinsel Nord,Europe,Austria,48.236,16.415,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Grischek, T., Schoenheinz, D., Worch, E., Hiscock, K., 2002. Bank-Filtration in Europe - An overview of Aquifer Conditions and hydraulic Controls, in: Dillon, P. (Ed.), Management of aquifer recharge for sustainabily, p. p. 488.",16.415 48.236,48.236,16.415,527.7866821
1049,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cad,1146,Grand Prairie,North America,USA,34.473909,-91.417933,1955,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Agricultural,Physical Aquifer Management,"<a href='https://pubs.usgs.gov/wsp/1615a/report.pdf' target='_blank'>Engler, K., F. H. Bayley, and R. T. Sniegocki. 1963. Studies of Artificial Recharge in the Grand Prairie Region, Arkansas: Environment and History. 1615 A. Water Supply Paper. Washingto",-91.417933 34.473909,0,0,547.8040161
1050,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cae,979,Hansen Spreading Grounds,North America,USA,34.249909,-118.394929,1944,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,no data,Physical Aquifer Management,<a href='http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=20' target='_blank'>Hansen Spreading Grounds. 2015. County of Los Angeles - Department of Public Works. http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?fac,-118.394929 34.249909,0,0,60.72733307
1051,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1caf,388,Geneuille,Europe,France,47.32335,5.969782,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Grischek, T., Schoenheinz, D., Worch, E., Hiscock, K., 2002. Bank-Filtration in Europe - An overview of Aquifer Conditions and hydraulic Controls, in: Dillon, P. (Ed.), Management of aquifer recharge for sustainabily, p. p. 488.",5.969782 47.32335,47.32335,5.969782,606.5079956
1052,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb0,79,Wanghe River,Asia,China,37.369913,119.953193,2005,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Physical Aquifer Management,"<a href='https://www.researchgate.net/publication/301623647_Spatial_characterization_of_the_seawater_upconing_process_in_a_coastal_Mediterranean_aquifer_Plana_de_Castellon_Spain_evolution_and_controls' target='_blank'>Shi, L., and J. J. Jiao. 2014. Seawa",119.953193 37.369913,0,0,200.5200043
1053,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb1,27,Kharkams,Africa,South Africa,-30.36846,17.887575,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Maximize Natural Storage,"<a href='www.artificialrecharge.co.za/coursenotes/lecturenotes.pdf' target='_blank'>Murray, R. 2009. Artificial Recharge - The Intentional Banking and Treating of Water in Aquifers. Department Water Affairs and Forestry. www.artificialrecharge.co.za/cour",17.887575 -30.36846,-30.36846,17.887575,
1054,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb2,1054,Wilwood,North America,USA,38.988951,-74.817914,1968,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,no data,no data,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-74.817914 38.988951,38.988951,-74.817914,639.166687
1055,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb3,422,Wittlaerer Werth,Europe,Germany,51.297,6.738,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Denecke, E., Schmidt, K.C., 2009. Langjährige Untersuchungen zur Calcitlösekapazität und Spurenstoffentfernung bei einer aeroben Uferfiltration am Niederrhein bei Wittlaer, ARW Jahresbericht 2008. Stadtwerke Duisburg AG.",6.738 51.297,51.297,6.738,477.6199951
1056,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb4,481,Prato,Europe,Italy,43.878,11.102,2002,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Maximize Natural Storage,"Landini, F., Pranzini, G., 2002. Investigations and project for aquifer replenishment in Prato, Italy, pp. 279-284.",11.102 43.878,43.878,11.102,352.4006653
1057,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb5,142,Qingyang,Asia,China,35.678951,107.670036,2008,-9999,Spreading Methods,Surface flooding and ditch-and-furrow,<a href='https://inowas.com/mar-methods/ditches-and-furrows/' target='_blank'>Ditches and furrows</a>,Storm water,Agricultural,Physical Aquifer Management,"Yan, J.-H. 2009. Urban rainwater harvesting and utilization of the Loess Plateau (in Chinese: 黄土高原城市雨水集蓄利用研究). Master thesis, Lanzhou, China: Gansu Agricultural University.",107.670036 35.678951,0,0,117.6320038
1058,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb6,1068,City of Tigard,North America,USA,45.412624,-122.789759,2003,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Maximize Natural Storage,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-122.789759 45.412624,0,0,815.9286499
1059,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb7,218,Janki Devi Memorial College,Asia,India,28.641761,77.191504,2004,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Domestic,Maximize Natural Storage,<a href='https://www.cseindia.org/janki-devi-memorial-colleges-rainwaterharvesting-system-1102' target='_blank'>Centre for Science and Environment - CSE. 2014. Janki Devi Memorial College. Urban Rainwaterharvesting. https://www.cseindia.org/janki-devi-me,77.191504 28.641761,28.641761,77.191504,261.2086792
1060,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb8,71,Jinhe well field,Asia,China,34.780507,117.325604,1993,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Industrial,Physical Aquifer Management,"Zhonghui W., Longcang S., Xianglong L., Xianfeng W. (2000) Artificial Recharge for Sustainable Groundwater Development in Jinhe Water Source Field of Zaozhuang City, Shandong Province, CHINA. In: Sato K., Iwasa Y. (eds) Groundwater Updates. Springer, Tok",117.325604 34.780507,0,0,301.4266663
1061,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cb9,1051,McMullen ASR,North America,USA,41.520364,-93.787204,2008,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Tap water,no data,Maximize Natural Storage,"<a href='www.nps.gov/miss/learn/nature/upload/StowePresent-050815.pdf' target='_blank'>Stowe, B. 2015. Regulating for Drinking Water Protection in Iowa’s Watersheds. www.nps.gov/miss/learn/nature/upload/StowePresent-050815.pdf</a>",-93.787204 41.520364,0,0,403.9719849
1062,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cba,280,Yavne-2,Asia,Israel,31.866523,34.719292,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Reclaimed wastewater,Agricultural,Water Quality Management,"<a href='http://www.gsi.gov.il/_uploads/ftp/GsiReport/2009/Goren-Orly-GSI-12-2009.pdf' target='_blank'>Goren, O. 2009. Geochemical Evolution and Manganese Mobilization in Organic Enriched Water Recharging Calcareous-Sandstone Aquifier; Clues from the Sha",34.719292 31.866523,31.866523,34.719292,173.6186676
1063,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cbb,217,Jamia Hamdard University,Asia,India,28.512625,77.248695,-9999,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Domestic,Maximize Natural Storage,<a href='https://www.cseindia.org/jamia-hamdard-universitys-rainwater-harvesting-system-1103' target='_blank'>Centre for Science and Environment - CSE. 2014. Jamia Hamdard University. Urban Rainwaterharvesting. https://www.cseindia.org/jamia-hamdard-univ,77.248695 28.512625,28.512625,77.248695,261.2086792
1064,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1cbc,1132,McCarthy Ranch,North America,USA,45.650079,-119.412243,2006,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Agricultural,no data,"<a href='http://wwbwc.org/aquifer-recharge-reports.html.' target='_blank'>Patten, S. 2014. Water Year 2013. Oregon Walla Walla Basin Aquifer Recharge Report. Milton-Freewater, OR: Walla Walla Basinn Watershed Council. http://wwbwc.org/aquifer-recharge-re",-119.412243 45.650079,0,0,71.99533081
